,date,open,high,low,close,volume
0,2021-07-27,$149.12,$149.21,$145.55,$146.77,104818578
1,2021-07-26,$148.27,$149.83,$147.70,$148.99,72434089
2,2021-07-23,$147.55,$148.72,$146.92,$148.56,71447416
3,2021-07-22,$145.94,$148.19,$145.81,$146.80,77338156
4,2021-07-21,$145.53,$146.13,$144.63,$145.40,74993460
5,2021-07-20,$143.46,$147.10,$142.96,$146.15,96350036
6,2021-07-19,$143.75,$144.07,$141.67,$142.45,121434571
7,2021-07-16,$148.46,$149.76,$145.88,$146.39,93251426
8,2021-07-15,$149.24,$150.00,$147.09,$148.48,106820297
9,2021-07-14,$148.10,$149.57,$147.68,$149.15,127050785
10,2021-07-13,$144.03,$147.46,$143.63,$145.64,100827099
11,2021-07-12,$146.21,$146.32,$144.00,$144.50,76299719
12,2021-07-09,$142.75,$145.65,$142.65,$145.11,99890800
13,2021-07-08,$141.58,$144.06,$140.66,$143.24,105575458
14,2021-07-07,$143.53,$144.89,$142.66,$144.57,104911589
15,2021-07-06,$140.07,$143.15,$140.07,$142.02,108181793
16,2021-07-02,$137.90,$140.00,$137.75,$139.96,78945572
17,2021-07-01,$136.60,$137.33,$135.76,$137.27,52485781
18,2021-06-30,$136.17,$137.41,$135.87,$136.96,63261393
19,2021-06-29,$134.80,$136.49,$134.35,$136.33,64556081
20,2021-06-28,$133.41,$135.25,$133.35,$134.78,62111303
21,2021-06-25,$133.46,$133.89,$132.81,$133.11,70783746
22,2021-06-24,$134.45,$134.64,$132.93,$133.41,68710998
23,2021-06-23,$133.77,$134.32,$133.23,$133.70,60214200
24,2021-06-22,$132.13,$134.08,$131.62,$133.98,74783618
25,2021-06-21,$130.30,$132.41,$129.21,$132.30,79663316
26,2021-06-18,$130.71,$131.51,$130.24,$130.46,108953309
27,2021-06-17,$129.80,$132.55,$129.65,$131.79,96721669
28,2021-06-16,$130.37,$130.89,$128.46,$130.15,91339351
29,2021-06-15,$129.94,$130.60,$129.39,$129.64,62746332
30,2021-06-14,$127.82,$130.54,$127.07,$130.48,96906490
31,2021-06-11,$126.53,$127.44,$126.10,$127.35,53522373
32,2021-06-10,$127.02,$128.19,$125.94,$126.11,71186421
33,2021-06-09,$127.21,$127.75,$126.52,$127.13,56877937
34,2021-06-08,$126.60,$128.46,$126.21,$126.74,74403774
35,2021-06-07,$126.17,$126.32,$124.83,$125.90,71057550
36,2021-06-04,$124.07,$126.16,$123.85,$125.89,75169343
37,2021-06-03,$124.68,$124.85,$123.13,$123.54,76229170
38,2021-06-02,$124.28,$125.24,$124.05,$125.06,59278862
39,2021-06-01,$125.08,$125.35,$123.94,$124.28,67637118
40,2021-05-28,$125.57,$125.80,$124.55,$124.61,71311109
41,2021-05-27,$126.44,$127.64,$125.08,$125.28,94625601
42,2021-05-26,$126.95,$127.39,$126.42,$126.85,56575920
43,2021-05-25,$127.82,$128.32,$126.32,$126.90,72009482
44,2021-05-24,$126.01,$127.94,$125.94,$127.10,63092945
45,2021-05-21,$127.82,$128.00,$125.21,$125.43,79295436
46,2021-05-20,$125.23,$127.72,$125.10,$127.31,76857123
47,2021-05-19,$123.16,$124.92,$122.86,$124.69,92611989
48,2021-05-18,$126.56,$126.99,$124.78,$124.85,63342929
49,2021-05-17,$126.82,$126.93,$125.17,$126.27,74244624
50,2021-05-14,$126.25,$127.89,$125.85,$127.45,81917951
51,2021-05-13,$124.58,$126.15,$124.26,$124.97,105861339
52,2021-05-12,$123.40,$124.64,$122.25,$122.77,112172282
53,2021-05-11,$123.50,$126.27,$122.77,$125.91,126142826
54,2021-05-10,$129.41,$129.54,$126.81,$126.85,88071229
55,2021-05-07,$130.85,$131.26,$129.47,$130.21,78973273
56,2021-05-06,$127.89,$129.75,$127.13,$129.74,78128334
57,2021-05-05,$129.20,$130.45,$127.97,$128.10,84000900
58,2021-05-04,$131.19,$131.49,$126.70,$127.85,137564718
59,2021-05-03,$132.04,$134.07,$131.83,$132.54,75135100
60,2021-04-30,$131.78,$133.56,$131.06,$131.46,109839466
61,2021-04-29,$136.47,$137.07,$132.45,$133.48,151100953
62,2021-04-28,$134.31,$135.02,$133.08,$133.58,107760097
63,2021-04-27,$135.01,$135.41,$134.11,$134.39,66015804
64,2021-04-26,$134.83,$135.06,$133.56,$134.72,66905069
65,2021-04-23,$132.16,$135.12,$132.16,$134.32,78756779
66,2021-04-22,$133.04,$134.15,$131.41,$131.94,84566456
