,date,open,high,low,close,volume
129,2021-03-22,1783.23,1807.51,1655.15,1680.97,582727.49081000
130,2021-03-21,1806.57,1817.16,1747.0,1782.98,465953.98749000
131,2021-03-20,1809.01,1868.83,1800.86,1806.1,451556.10639000
132,2021-03-19,1775.92,1840.61,1733.47,1809.1,500258.42875000
133,2021-03-18,1823.58,1850.0,1759.04,1776.08,603721.61056000
134,2021-03-17,1805.01,1838.88,1741.18,1823.58,658349.44843000
135,2021-03-16,1793.99,1819.5,1711.68,1805.12,764993.40147000
136,2021-03-15,1848.1,1891.76,1730.0,1793.48,1025326.79658000
137,2021-03-14,1922.35,1933.1,1836.0,1848.1,637963.63627000
138,2021-03-13,1766.13,1944.3,1727.75,1922.35,926283.22642000
139,2021-03-12,1825.78,1841.88,1719.72,1766.1,869564.63610000
140,2021-03-11,1795.28,1846.7,1725.0,1825.78,909011.49610000
141,2021-03-10,1870.5,1877.69,1757.0,1795.12,937230.62831000
142,2021-03-09,1833.22,1870.77,1798.2,1870.51,857229.47855000
143,2021-03-08,1726.46,1843.59,1664.96,1833.18,1149711.39987000
144,2021-03-07,1650.68,1734.16,1630.35,1726.16,848470.78136000
145,2021-03-06,1528.08,1671.58,1513.03,1650.35,1013300.93928000
146,2021-03-05,1539.22,1548.96,1441.66,1528.31,910786.28976000
147,2021-03-04,1567.68,1624.87,1506.36,1539.23,946365.67088000
148,2021-03-03,1486.79,1656.94,1475.47,1567.69,1054846.31471000
149,2021-03-02,1570.0,1602.9,1455.52,1486.78,1061142.38743000
150,2021-03-01,1418.67,1572.0,1409.91,1569.86,1094695.17839000
151,2021-02-28,1458.27,1468.75,1293.18,1419.18,1410207.56284000
152,2021-02-27,1444.56,1529.0,1425.0,1458.13,927423.04750000
153,2021-02-26,1482.08,1562.25,1400.0,1444.59,1355973.29378000
154,2021-02-25,1623.16,1671.59,1459.16,1481.75,1032670.79409000
155,2021-02-24,1577.79,1712.7,1500.2,1623.39,1384388.81727000
156,2021-02-23,1777.42,1782.39,1355.0,1577.89,2547837.82068000
157,2021-02-22,1933.54,1936.29,1551.0,1777.58,1807244.98099000
158,2021-02-21,1912.9,1976.31,1883.01,1933.53,756568.19743000
159,2021-02-20,1955.46,2042.34,1803.14,1913.0,1261315.81279000
160,2021-02-19,1938.91,1972.82,1891.0,1955.0,793404.41150000
161,2021-02-18,1849.7,1950.5,1849.69,1939.61,937227.10191000
162,2021-02-17,1781.99,1855.0,1733.01,1849.88,795711.63311000
163,2021-02-16,1779.33,1827.28,1724.0,1781.99,817493.47513000
164,2021-02-15,1800.03,1835.72,1655.67,1779.25,1053474.57879000
165,2021-02-14,1815.25,1850.0,1784.11,1800.42,675261.77873000
166,2021-02-13,1840.24,1871.72,1765.0,1814.96,767589.07285000
167,2021-02-12,1785.83,1864.88,1739.88,1840.26,909600.20653000
168,2021-02-11,1740.76,1819.0,1703.44,1785.62,735079.82699000
169,2021-02-10,1769.14,1837.86,1680.0,1740.78,1219932.25474000
170,2021-02-09,1749.68,1821.88,1708.49,1769.13,1185071.89593000
171,2021-02-08,1611.46,1775.57,1563.89,1750.15,1339777.09536000
172,2021-02-07,1676.35,1693.0,1490.46,1611.62,1281734.86814000
173,2021-02-06,1718.95,1743.67,1642.94,1676.35,1149808.33101000
174,2021-02-05,1595.53,1760.49,1591.0,1719.19,1194123.29946000
175,2021-02-04,1664.67,1695.2,1554.44,1595.67,1646502.32962000
176,2021-02-03,1511.93,1669.35,1508.39,1664.49,1535869.88801000
177,2021-02-02,1374.09,1547.9,1360.28,1511.87,1944227.99878000
178,2021-02-01,1312.45,1377.99,1269.99,1374.17,1096397.91862000
179,2021-01-31,1378.04,1380.74,1281.12,1312.55,958704.85571000
180,2021-01-30,1379.56,1406.0,1326.41,1378.05,1040042.23630000
181,2021-01-29,1329.44,1436.9,1285.35,1379.5,2253963.18682000
182,2021-01-28,1238.93,1360.0,1217.23,1329.69,1365269.71962000
183,2021-01-27,1366.54,1373.9,1207.0,1239.03,2009772.08358000
184,2021-01-26,1317.6,1378.49,1244.56,1365.97,1682923.65799000
185,2021-01-25,1392.19,1475.0,1293.69,1317.88,1885441.31289000
186,2021-01-24,1233.46,1398.83,1220.0,1392.51,1510879.53817000
187,2021-01-23,1232.61,1272.44,1195.9,1233.6,1009545.08258000
188,2021-01-22,1111.98,1273.79,1042.31,1232.62,2020593.21673000
189,2021-01-21,1376.72,1390.0,1086.0,1110.96,2254164.80365000
190,2021-01-20,1365.36,1407.93,1235.42,1376.99,2219137.62144000
191,2021-01-19,1258.52,1438.3,1251.49,1365.36,2278852.55758000
192,2021-01-18,1232.5,1260.75,1182.58,1258.45,998050.11073000
193,2021-01-17,1227.83,1269.02,1165.0,1232.45,1317285.00579000
194,2021-01-16,1168.48,1298.0,1151.77,1227.83,1575384.43797000
195,2021-01-15,1231.89,1256.98,1069.42,1168.53,1944038.83738000
196,2021-01-14,1129.79,1247.55,1086.7,1231.62,1555737.38556000
197,2021-01-13,1050.36,1137.65,987.48,1129.89,1564202.39081000
198,2021-01-12,1087.0,1150.02,1006.33,1050.16,2302645.34052000
199,2021-01-11,1254.24,1260.0,915.0,1087.01,4068784.65678000
200,2021-01-10,1276.0,1348.33,1170.0,1254.25,1951179.35003000
201,2021-01-09,1216.72,1304.37,1171.36,1276.0,1448871.11514000
202,2021-01-08,1224.86,1273.75,1065.0,1216.93,2131172.92341000
203,2021-01-07,1208.75,1289.0,1131.0,1224.87,1972922.82059000
204,2021-01-06,1100.16,1213.0,1057.26,1208.42,2390136.59334000
205,2021-01-05,1041.45,1134.6,974.45,1099.56,2706995.67525000
206,2021-01-04,978.33,1162.97,890.0,1041.43,4245010.94004000
207,2021-01-03,774.44,1011.07,768.71,978.28,2813603.88615000
208,2021-01-02,728.91,787.69,714.91,774.56,1352618.57668000
209,2021-01-01,736.42,749.0,714.29,728.91,675114.09329000
210,2020-12-31,752.17,755.74,722.0,736.42,863375.57981000
211,2020-12-30,732.0,758.74,716.62,752.17,1008574.09906000
212,2020-12-29,730.4,740.78,689.2,732.0,1106876.35855000
213,2020-12-28,685.1,748.09,681.04,730.41,1627154.39266000
214,2020-12-27,637.44,717.13,625.0,685.11,1859968.15029000
215,2020-12-26,626.78,652.91,615.26,637.44,958585.50647000
216,2020-12-25,612.31,634.24,604.28,626.82,798009.62915000
217,2020-12-24,585.48,615.02,565.43,612.31,886335.86333000
218,2020-12-23,636.41,638.44,551.28,585.56,1208807.36518000
219,2020-12-22,607.68,637.73,588.0,636.45,918851.25654000
220,2020-12-21,638.1,648.0,595.9,607.58,843251.16565000
221,2020-12-20,658.05,661.39,621.01,638.18,823958.22843000
222,2020-12-19,653.76,669.95,645.42,658.03,858803.88459000
223,2020-12-18,642.71,664.61,629.4,653.85,1000012.98018000
224,2020-12-17,637.18,676.25,625.76,642.7,2006130.01975000
225,2020-12-16,588.78,640.0,580.71,637.18,1185588.05078000
226,2020-12-15,586.29,597.2,578.58,588.64,569270.52011000
227,2020-12-14,590.81,591.48,575.6,586.29,493012.02706000
228,2020-12-13,568.09,595.0,563.22,590.7,657794.46158000
229,2020-12-12,544.46,574.0,543.1,568.04,573913.95311000
230,2020-12-11,558.99,560.8,535.5,544.43,768921.78317000
231,2020-12-10,573.2,575.7,548.11,558.99,608414.51466000
232,2020-12-09,554.92,578.08,530.43,573.09,997192.16738000
233,2020-12-08,591.27,595.0,549.22,554.94,804443.00717000
234,2020-12-07,601.59,603.15,584.22,591.28,498329.37589000
235,2020-12-06,596.82,607.5,583.0,601.54,602496.96339000
236,2020-12-05,567.24,597.11,560.88,596.8,701567.95564000
237,2020-12-04,615.84,620.0,565.82,567.24,1052452.78666000
238,2020-12-03,596.88,623.44,585.82,615.85,935687.91723000
239,2020-12-02,585.26,604.93,575.0,596.89,1069538.65619000
240,2020-12-01,616.65,635.7,560.0,585.26,2163875.81376000
241,2020-11-30,576.32,616.85,570.07,616.66,1501989.45408000
242,2020-11-29,537.5,576.9,530.32,576.3,855276.46664000
243,2020-11-28,518.59,547.94,506.59,537.52,900508.61431000
244,2020-11-27,519.83,530.62,493.72,518.68,1088064.28114000
245,2020-11-26,569.38,577.14,481.0,519.83,2683460.74171000
246,2020-11-25,604.98,606.0,553.83,569.5,1219440.02727000
247,2020-11-24,608.58,623.0,585.0,604.97,1606450.49193000
248,2020-11-23,560.03,610.85,550.12,608.58,2076008.84846000
249,2020-11-22,552.42,580.88,511.28,560.03,1850317.93581000
250,2020-11-21,510.12,553.32,502.82,552.35,1548851.29067000
251,2020-11-20,471.26,514.4,470.65,510.12,1516361.90736000
252,2020-11-19,478.43,480.75,464.86,471.25,817418.52685000
253,2020-11-18,482.11,495.31,456.6,478.41,1477696.29116000
254,2020-11-17,460.51,484.88,459.8,482.15,1151573.37456000
255,2020-11-16,448.07,466.0,445.45,460.55,812060.44638000
256,2020-11-15,460.9,462.89,440.19,448.08,665217.56671000
257,2020-11-14,476.42,477.47,452.0,460.89,735252.78540000
258,2020-11-13,462.48,478.01,457.12,476.43,976665.09752000
259,2020-11-12,463.09,470.0,451.2,462.39,990776.62912000
260,2020-11-11,450.34,476.25,449.28,463.09,1205782.84262000
261,2020-11-10,444.32,455.0,438.7,450.34,866872.41108000
262,2020-11-09,454.29,459.1,433.09,444.32,1099213.24641000
263,2020-11-08,435.2,460.1,431.99,454.3,840908.46841000
264,2020-11-07,455.91,468.28,424.14,435.21,1653416.59610000
265,2020-11-06,416.73,458.27,414.76,455.91,1682440.96026000
266,2020-11-05,402.5,420.4,396.14,416.69,1475139.77342000
267,2020-11-04,387.88,408.39,376.47,402.49,1157064.35076000
268,2020-11-03,383.01,390.0,370.23,387.88,752954.37114000
269,2020-11-02,396.68,404.5,377.92,383.02,779968.57957000
270,2020-11-01,386.44,398.29,384.61,396.67,438952.95565000
271,2020-10-31,382.59,394.88,379.9,386.46,467453.81050000
272,2020-10-30,387.12,391.97,373.29,382.49,771750.74746000
273,2020-10-29,388.22,393.72,380.52,387.13,573096.01416000
274,2020-10-28,403.41,409.2,380.52,388.23,855275.46882000
275,2020-10-27,392.52,410.25,389.9,403.45,754244.37552000
276,2020-10-26,405.85,411.11,382.3,392.52,895142.67266000
277,2020-10-25,412.14,417.4,402.5,405.86,415586.97610000
278,2020-10-24,409.19,416.66,407.0,412.14,419236.87106000
279,2020-10-23,413.94,419.33,401.3,409.11,727832.32240000
280,2020-10-22,390.31,420.73,390.21,413.98,1095897.20667000
281,2020-10-21,368.53,401.49,367.74,390.38,1221663.63784000
282,2020-10-20,379.3,380.73,365.27,368.52,617309.81677000
283,2020-10-19,378.12,384.32,372.5,379.3,577252.90265000
284,2020-10-18,368.31,378.64,367.1,378.11,323468.47095000
285,2020-10-17,365.5,370.46,363.36,368.32,285578.24537000
286,2020-10-16,377.63,379.83,361.18,365.5,654029.36404000
287,2020-10-15,378.69,381.79,369.85,377.64,634038.09453000
288,2020-10-14,381.05,387.41,373.13,378.69,569557.82936000
289,2020-10-13,386.51,387.75,374.51,381.04,645141.91394000
